state,year,type_code,type,gender,age_group,total
A & N Islands,2008,Causes,Other Prolonged Illness,Female,45-59,2
A & N Islands,2008,Causes,Causes Not known,Female,45-59,1
A & N Islands,2008,Causes,Insanity/Mental Illness,Female,45-59,2
A & N Islands,2008,Causes,Causes Not known,Male,45-59,4
A & N Islands,2008,Causes,Poverty,Male,45-59,1
A & N Islands,2008,Causes,Insanity/Mental Illness,Male,45-59,4
A & N Islands,2008,Causes,Other Causes (Please Specity),Male,45-59,3
A & N Islands,2008,Causes,Suspected/Illicit Relation,Male,45-59,1
A & N Islands,2008,Causes,Other Prolonged Illness,Male,45-59,7
A & N Islands,2008,Causes,Bankruptcy or Sudden change in Economic,Male,45-59,1
A & N Islands,2008,Causes,Insanity/Mental Illness,Female,60+,1
A & N Islands,2008,Causes,Other Causes (Please Specity),Female,60+,1
A & N Islands,2008,Causes,Other Prolonged Illness,Female,60+,2
A & N Islands,2008,Causes,Other Prolonged Illness,Male,60+,6
A & N Islands,2008,Causes,Insanity/Mental Illness,Male,60+,2
A & N Islands,2008,Causes,Causes Not known,Male,60+,4
A & N Islands,2008,Causes,Property Dispute,Male,60+,1
A & N Islands,2008,Causes,Other Causes (Please Specity),Male,60+,1
A & N Islands,2009,Causes,Other Causes (Please Specity),Female,0-14,7
A & N Islands,2009,Causes,Other Causes (Please Specity),Male,0-14,1
A & N Islands,2009,Causes,Family Problems,Female,15-29,1
A & N Islands,2009,Causes,Other Causes (Please Specity),Female,15-29,8
A & N Islands,2009,Causes,Failure in Examination,Female,15-29,1
A & N Islands,2009,Causes,Other Prolonged Illness,Female,15-29,3
A & N Islands,2009,Causes,Love Affairs,Female,15-29,1
A & N Islands,2009,Causes,Causes Not known,Female,15-29,4
A & N Islands,2009,Causes,Insanity/Mental Illness,Female,15-29,1
A & N Islands,2009,Causes,Other Causes (Please Specity),Male,15-29,14
A & N Islands,2009,Causes,Love Affairs,Male,15-29,2
A & N Islands,2009,Causes,Causes Not known,Male,15-29,7
A & N Islands,2009,Causes,Other Prolonged Illness,Male,15-29,4
A & N Islands,2009,Causes,Insanity/Mental Illness,Male,15-29,4
A & N Islands,2009,Causes,Insanity/Mental Illness,Female,30-44,5
A & N Islands,2009,Causes,Causes Not known,Female,30-44,2
A & N Islands,2009,Causes,Other Causes (Please Specity),Female,30-44,5
A & N Islands,2009,Causes,Other Prolonged Illness,Female,30-44,2
A & N Islands,2009,Causes,Insanity/Mental Illness,Male,30-44,5
A & N Islands,2009,Causes,Other Prolonged Illness,Male,30-44,3
A & N Islands,2009,Causes,Other Causes (Please Specity),Male,30-44,7
A & N Islands,2009,Causes,Causes Not known,Male,30-44,8
A & N Islands,2009,Causes,Other Prolonged Illness,Female,45-59,3
A & N Islands,2009,Causes,Other Causes (Please Specity),Female,45-59,1
A & N Islands,2009,Causes,Causes Not known,Male,45-59,9
A & N Islands,2009,Causes,Other Causes (Please Specity),Male,45-59,6
A & N Islands,2009,Causes,Other Prolonged Illness,Male,45-59,6
A & N Islands,2009,Causes,Insanity/Mental Illness,Male,45-59,4
A & N Islands,2009,Causes,Other Prolonged Illness,Female,60+,1
A & N Islands,2009,Causes,Love Affairs,Male,60+,1
A & N Islands,2009,Causes,Other Prolonged Illness,Male,60+,3
A & N Islands,2009,Causes,Insanity/Mental Illness,Male,60+,1
A & N Islands,2009,Causes,Causes Not known,Male,60+,1
A & N Islands,2010,Causes,Other Causes (Please Specity),Male,0-14,4
A & N Islands,2010,Causes,Poverty,Female,15-29,1
A & N Islands,2010,Causes,Other Prolonged Illness,Female,15-29,3
A & N Islands,2010,Causes,Love Affairs,Female,15-29,1
A & N Islands,2010,Causes,Other Causes (Please Specity),Female,15-29,12
A & N Islands,2010,Causes,Family Problems,Female,15-29,2
A & N Islands,2010,Causes,Insanity/Mental Illness,Female,15-29,2
A & N Islands,2010,Causes,Causes Not known,Female,15-29,5
A & N Islands,2010,Causes,Not having Children(Barrenness/Impotency,Female,15-29,2
A & N Islands,2010,Causes,Unemployment,Male,15-29,3
A & N Islands,2010,Causes,Other Causes (Please Specity),Male,15-29,13
A & N Islands,2010,Causes,Causes Not known,Male,15-29,4
A & N Islands,2010,Causes,Insanity/Mental Illness,Male,15-29,10
A & N Islands,2010,Causes,Love Affairs,Male,15-29,3
A & N Islands,2010,Causes,Other Prolonged Illness,Male,15-29,5
